#{"t_start": 1764787633.444598, "env_id": "None"}
r,l,t,success
17.692154,314,567.72077,False
17.691125,314,567.941608,False
17.748562,314,568.194965,False
17.748335,314,570.817154,False
17.747646,314,571.048117,False
17.747435,314,571.285107,False
17.659057,314,571.523682,False
17.749046,314,571.814695,False
17.746593,314,572.051615,False
17.662883,314,572.265405,False
17.747548,314,574.82529,False
17.748167,314,575.130077,False
17.677495,314,575.374906,False
17.748414,314,575.604497,False
17.746832,314,575.839312,False
17.732482,314,576.04709,False
17.612267,314,576.293366,False
17.74781,314,578.906648,False
17.629177,314,579.120059,False
17.738287,314,579.323224,False
17.694043,314,579.533179,False
17.621772,314,579.742894,False
17.61917,314,579.96656,False
17.620704,314,582.520128,False
17.613799,314,582.723374,False
17.60464,314,582.95873,False
17.678002,314,583.184074,False
17.709882,314,583.42301,False
17.748021,314,583.667745,False
17.727733,314,583.909051,False
17.604008,314,586.39434,False
17.636641,314,586.602582,False
17.684349,314,586.812181,False
17.748418,314,587.035269,False
17.744709,314,587.26147,False
17.748153,314,587.531628,False
17.636724,314,590.174782,False
17.746591,314,590.418664,False
17.607915,314,590.669186,False
17.660546,314,590.898372,False
17.608576,314,591.10463,False
17.66847,314,591.364645,False
17.644108,314,591.574232,False
17.748194,314,594.282993,False
17.609518,314,594.539638,False
17.637337,314,594.751385,False
17.613009,314,594.971489,False
17.604413,314,595.182762,False
17.748339,314,595.425757,False
17.748669,314,598.118513,False
17.74883,314,598.332846,False
17.616404,314,598.545992,False
17.747551,314,598.751113,False
17.690033,314,598.960908,False
17.748717,314,599.17515,False
17.632305,314,599.410315,False
17.69787,314,602.197896,False
17.748263,314,602.409413,False
17.604869,314,602.625121,False
17.649481,314,602.827775,False
17.748168,314,603.040786,False
17.606136,314,603.254037,False
17.748684,314,605.829259,False
17.690518,314,606.075088,False
17.747603,314,606.30473,False
17.748932,314,606.524589,False
17.748264,314,606.738334,False
17.738906,314,606.95071,False
17.656115,314,607.164972,False
17.74823,314,609.563061,False
17.74782,314,609.776392,False
17.647397,314,609.997265,False
