#{"t_start": 1764741947.369764, "env_id": "None"}
r,l,t,success
23.024248,332,456.141409,False
22.89409,332,456.487708,False
23.063227,332,456.815221,False
22.892931,332,459.634094,False
23.045928,332,459.860145,False
22.894958,332,460.075589,False
22.979019,332,460.285774,False
23.064523,332,460.502258,False
22.892946,332,460.718141,False
23.06352,332,463.231866,False
22.897914,332,463.453954,False
23.06341,332,463.669748,False
22.912765,332,463.891375,False
22.996544,332,464.108717,False
22.906479,332,464.313812,False
22.895859,332,466.970839,False
23.007639,332,467.208675,False
22.92388,332,467.446585,False
23.064384,332,467.696908,False
22.958635,332,467.961414,False
23.006006,332,468.173161,False
22.978402,332,470.840709,False
22.893461,332,471.069028,False
23.064613,332,471.288765,False
22.95092,332,471.506983,False
22.911848,332,471.722342,False
23.062895,332,471.932074,False
23.063596,332,474.223065,False
23.06448,332,474.442791,False
22.893441,332,474.665006,False
22.976361,332,474.890081,False
22.910785,332,475.101177,False
22.912105,332,475.307328,False
23.063393,332,475.518946,False
23.005626,332,477.969103,False
22.982885,332,478.175429,False
22.998188,332,478.406933,False
22.937507,332,478.642917,False
22.942891,332,478.857332,False
22.893319,332,479.087108,False
22.912786,332,481.550967,False
23.062388,332,481.76985,False
22.896618,332,481.997047,False
23.062506,332,482.223666,False
22.91457,332,482.454022,False
22.901701,332,482.671302,False
23.063354,332,485.061942,False
23.064672,332,485.262308,False
23.064033,332,485.468721,False
22.932081,332,485.688585,False
22.907366,332,485.907738,False
22.894001,332,486.121088,False
22.895554,332,488.438633,False
23.062577,332,488.664417,False
22.893444,332,488.877369,False
22.893698,332,489.103291,False
22.929084,332,489.323817,False
23.063637,332,489.539474,False
22.911019,332,491.897294,False
23.063457,332,492.114922,False
22.904507,332,492.331237,False
22.924592,332,492.547504,False
22.892967,332,492.776063,False
23.030542,332,493.002103,False
22.893147,332,495.359363,False
23.063211,332,495.578696,False
23.062754,332,495.792652,False
22.907779,332,496.004923,False
22.914438,332,496.218928,False
22.98623,332,496.435161,False
22.913555,332,496.640829,False
22.90717,332,498.937352,False
23.062966,332,499.143714,False
23.02454,332,499.353368,False
22.894136,332,499.567975,False
23.063352,332,499.780114,False
23.058945,332,499.992998,False
22.893523,332,502.353627,False
23.048904,332,502.635034,False
23.017615,332,502.924104,False
23.062919,332,503.199878,False
22.896573,332,503.438516,False
22.923752,332,503.674985,False
23.063725,332,505.953693,False
22.96002,332,506.145492,False
23.063618,332,506.348395,False
22.911287,332,506.546845,False
22.927662,332,506.722812,False
22.895396,332,506.915258,False
23.053583,332,509.033476,False
23.064549,332,509.224806,False
23.054651,332,509.411006,False
23.032831,332,509.594941,False
23.063528,332,509.789029,False
22.932091,332,509.976289,False
23.068382,332,512.31184,False
23.063616,332,512.526592,False
23.018647,332,512.712783,False
23.062898,332,512.886498,False
22.948802,332,513.075026,False
23.063473,332,513.259973,False
22.952411,332,513.461342,False
23.063441,332,515.738734,False
23.063175,332,515.918539,False
22.900892,332,516.126477,False
23.062531,332,516.323637,False
23.063539,332,516.52376,False
22.893233,332,516.719059,False
23.063339,332,518.950237,False
23.063933,332,519.182948,False
23.062259,332,519.394264,False
22.92924,332,519.596048,False
23.062838,332,519.792692,False
23.063635,332,520.008881,False
23.063413,332,522.202677,False
22.899492,332,522.389577,False
23.027042,332,522.579475,False
23.063312,332,522.779757,False
23.059181,332,522.978216,False
22.922748,332,523.179586,False
22.948846,332,525.48391,False
22.919371,332,525.672636,False
23.063544,332,525.865148,False
23.062882,332,526.056251,False
23.064111,332,526.244356,False
