time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/loss,train/n_updates,train/learning_rate,train/value_loss,train/clip_range,train/explained_variance,train/std,train/entropy_loss
2141,60,63,129024,0.04990234375,0.005542921,-0.004108934915711871,-0.0031934925355017185,620,0.0003,0.00021423201978905128,0.2,0.999712347984314,1.2487660646438599,-4.9152197137475016
2141,61,64,131072,0.07919921875,0.005250453,-0.006304285890655592,-0.04299096390604973,630,0.0003,0.0016518322988531508,0.2,0.9933176040649414,1.2558674812316895,-4.932262796163559
2142,62,65,133120,0.0486328125,0.0047931205,-0.004702343864482828,-0.015354542061686516,640,0.0003,0.0016423541695985478,0.2,0.9970732927322388,1.2695165872573853,-4.955944138765335
2143,63,66,135168,0.05078125,0.007061994,-0.0021899564599152654,-0.0020246049389243126,650,0.0003,0.0015412158542176257,0.2,0.9971789121627808,1.277383804321289,-4.981668746471405
2143,64,67,137216,0.055859375,0.0067277616,-0.00536601120402338,-0.0012927065836265683,660,0.0003,0.00043864159626423317,0.2,0.9994783997535706,1.2655272483825684,-4.974345797300339
2144,64,68,139264,0.069677734375,0.0076243076,-0.0048808687541168185,-0.013691355474293232,670,0.0003,0.001552652058978765,0.2,0.9976006746292114,1.2818294763565063,-4.980885066092014
2144,65,69,141312,0.0759765625,0.0081984475,-0.00836763830302516,-0.010413859970867634,680,0.0003,0.00028929518983886735,0.2,0.9996978044509888,1.274461269378662,-4.989752940833569
2145,66,70,143360,0.024365234375,0.0045858393,-0.0006992504218942486,-0.008673269301652908,690,0.0003,0.0012475860298081897,0.2,0.9958325028419495,1.2697367668151855,-4.977798373997212
2146,67,71,145408,0.06318359375,0.0067575686,-0.005330236267764121,0.004607073962688446,700,0.0003,0.007600103613913234,0.2,0.9919980764389038,1.264583706855774,-4.967390647530555
2147,68,72,147456,0.0427734375,0.006332621,-0.002934415799973067,-0.005881544202566147,710,0.0003,0.0017692578706828498,0.2,0.9981428384780884,1.2779232263565063,-4.975081883370876
2148,69,73,149504,0.064892578125,0.0058350097,-0.0065621351663139645,-0.013496626168489456,720,0.0003,0.0011909186350976598,0.2,0.9989339709281921,1.2833861112594604,-5.001460027694702
2149,70,74,151552,0.045263671875,0.0057830177,-0.0038229124213103203,0.009545679204165936,730,0.0003,0.00035208773732051666,0.2,0.9995685815811157,1.2771114110946655,-4.998608426749707
2150,71,75,153600,0.04501953125,0.0056714807,-0.0040664070591446945,0.007579346653074026,740,0.0003,0.0008030361811279362,0.2,0.9993703365325928,1.2753628492355347,-4.98474837243557
2150,72,76,155648,0.0275390625,0.0042893374,-0.002026066395046655,-0.007155361585319042,750,0.0003,0.0010187563050521931,0.2,0.9991191625595093,1.2741400003433228,-4.985908100008965
2151,73,77,157696,0.05146484375,0.0059987213,-0.004819823103025556,-0.009778286330401897,760,0.0003,0.0009345533682903806,0.2,0.9994205236434937,1.2744783163070679,-4.983281742036342
2151,74,78,159744,0.056298828125,0.0065785376,-0.004461594161693938,0.013766453601419926,770,0.0003,0.0005892302169286268,0.2,0.999483048915863,1.2835935354232788,-4.991607522964477
